0,"{'path': '/muneeb-mbytes/FPGABoard_edgeSpartan6', 'title': 'muneeb-mbytes/FPGABoard_edgeSpartan6: This project aims at learning Digital D...', 'count': 24, 'uniques': 12}"
1,"{'path': '/muneeb-mbytes/FPGABoard_edgeSpartan6/graphs/contributors', 'title': 'Contributors to muneeb-mbytes/FPGABoard_edgeSpartan6', 'count': 15, 'uniques': 4}"
2,"{'path': '/muneeb-mbytes/FPGABoard_edgeSpartan6/edit/production/README.md', 'title': 'Editing FPGABoard_edgeSpartan6/README.md at production · muneeb-mbytes/FPGABo...', 'count': 13, 'uniques': 2}"
3,"{'path': '/muneeb-mbytes/FPGABoard_edgeSpartan6/wiki', 'title': 'Home · muneeb-mbytes/FPGABoard_edgeSpartan6 Wiki · GitHub', 'count': 8, 'uniques': 5}"
4,"{'path': '/muneeb-mbytes/FPGABoard_edgeSpartan6/tree/production/Frequency%20Generator', 'title': 'FPGABoard_edgeSpartan6/Frequency Generator at production · muneeb-mbytes/FPGA...', 'count': 8, 'uniques': 1}"
5,"{'path': '/muneeb-mbytes/FPGABoard_edgeSpartan6/wiki/Implementation-steps', 'title': 'Implementation steps · muneeb-mbytes/FPGABoard_edgeSpartan6 Wiki', 'count': 7, 'uniques': 2}"
6,"{'path': '/muneeb-mbytes/FPGABoard_edgeSpartan6/blob/production/Frequency%20Generator/clk_261_63Hzgen.v', 'title': 'FPGABoard_edgeSpartan6/Frequency Generator/clk_261_63Hzgen.v at production · ...', 'count': 7, 'uniques': 1}"
7,"{'path': '/muneeb-mbytes/FPGABoard_edgeSpartan6/blob/production/README.md', 'title': 'FPGABoard_edgeSpartan6/README.md at production · muneeb-mbytes/FPGABoard_edge...', 'count': 7, 'uniques': 1}"
8,"{'path': '/muneeb-mbytes/FPGABoard_edgeSpartan6/wiki/Challenge1_Counters', 'title': 'Challenge1_Counters · muneeb-mbytes/FPGABoard_edgeSpartan6 Wiki · GitHub', 'count': 6, 'uniques': 3}"
9,"{'path': '/muneeb-mbytes/FPGABoard_edgeSpartan6/blob/production/Frequency%20Generator/clk_523_25Hzgen.v', 'title': 'FPGABoard_edgeSpartan6/Frequency Generator/clk_523_25Hzgen.v at production · ...', 'count': 5, 'uniques': 1}"
