0,"{'path': '/muneeb-mbytes/computerArchitectureCourse/wiki/QTSPIM', 'title': 'QTSPIM · muneeb-mbytes/computerArchitectureCourse Wiki', 'count': 51, 'uniques': 4}"
1,"{'path': '/muneeb-mbytes/computerArchitectureCourse', 'title': 'muneeb-mbytes/computerArchitectureCourse', 'count': 45, 'uniques': 15}"
2,"{'path': '/muneeb-mbytes/computerArchitectureCourse/wiki', 'title': 'Home · muneeb-mbytes/computerArchitectureCourse Wiki · GitHub', 'count': 37, 'uniques': 12}"
3,"{'path': '/muneeb-mbytes/computerArchitectureCourse/blob/production/README.md', 'title': 'computerArchitectureCourse/README.md at production · muneeb-mbytes/computerAr...', 'count': 26, 'uniques': 6}"
4,"{'path': '/muneeb-mbytes/computerArchitectureCourse/graphs/contributors', 'title': 'Contributors to muneeb-mbytes/computerArchitectureCourse', 'count': 24, 'uniques': 7}"
5,"{'path': '/muneeb-mbytes/computerArchitectureCourse/edit/production/README.md', 'title': 'Editing computerArchitectureCourse/README.md at production · muneeb-mbytes/co...', 'count': 22, 'uniques': 6}"
6,"{'path': '/muneeb-mbytes/computerArchitectureCourse/wiki/Installation-steps-for-windows', 'title': 'Installation Steps for Windows · muneeb-mbytes/computerArchitectureCourse Wiki', 'count': 21, 'uniques': 4}"
7,"{'path': '/muneeb-mbytes/computerArchitectureCourse/wiki/ExampleProgram', 'title': 'ExampleProgram · muneeb-mbytes/computerArchitectureCourse Wiki', 'count': 20, 'uniques': 4}"
8,"{'path': '/muneeb-mbytes/computerArchitectureCourse/wiki/Introduction-to-QTSPIM', 'title': 'Introduction to QTSPIM · muneeb-mbytes/computerArchitectureCourse Wiki', 'count': 18, 'uniques': 4}"
9,"{'path': '/muneeb-mbytes/computerArchitectureCourse/wiki/MIPS-Instruction', 'title': 'MIPS Instruction · muneeb-mbytes/computerArchitectureCourse Wiki', 'count': 17, 'uniques': 3}"
