/muneeb-mbytes/pulpino__spi_master__ip_verification,muneeb-mbytes/pulpino__spi_master__ip_verification: To verify the SPI Master ...,11,3
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/src,pulpino__spi_master__ip_verification/src at development_branch_v1 · muneeb-mb...,9,4
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/src/dv,pulpino__spi_master__ip_verification/src/dv at development_branch_v1 · muneeb...,9,3
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/sim,pulpino__spi_master__ip_verification/sim at development_branch_v1 · muneeb-mb...,5,2
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/.github,pulpino__spi_master__ip_verification/.github at development_branch_v1 · munee...,4,1
/muneeb-mbytes/pulpino__spi_master__ip_verification/blob/development_branch_v1/.github/ISSUE_TEMPLATE/rtl_bug_report.md,pulpino__spi_master__ip_verification/.github/ISSUE_TEMPLATE/rtl_bug_report.md...,2,1
/muneeb-mbytes/pulpino__spi_master__ip_verification/blob/development_branch_v1/pull_request_template.md,pulpino__spi_master__ip_verification/pull_request_template.md at development_...,2,1
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/doc,pulpino__spi_master__ip_verification/doc at development_branch_v1 · muneeb-mb...,2,1
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/sim/questa_sim,pulpino__spi_master__ip_verification/sim/questa_sim at development_branch_v1 ...,2,1
/muneeb-mbytes/pulpino__spi_master__ip_verification,muneeb-mbytes/pulpino__spi_master__ip_verification: To verify the SPI Master ...,11,3
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/src,pulpino__spi_master__ip_verification/src at development_branch_v1 · muneeb-mb...,9,4
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/src/dv,pulpino__spi_master__ip_verification/src/dv at development_branch_v1 · muneeb...,9,3
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/sim,pulpino__spi_master__ip_verification/sim at development_branch_v1 · muneeb-mb...,5,2
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/.github,pulpino__spi_master__ip_verification/.github at development_branch_v1 · munee...,4,1
/muneeb-mbytes/pulpino__spi_master__ip_verification/blob/development_branch_v1/.github/ISSUE_TEMPLATE/rtl_bug_report.md,pulpino__spi_master__ip_verification/.github/ISSUE_TEMPLATE/rtl_bug_report.md...,2,1
/muneeb-mbytes/pulpino__spi_master__ip_verification/blob/development_branch_v1/pull_request_template.md,pulpino__spi_master__ip_verification/pull_request_template.md at development_...,2,1
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/doc,pulpino__spi_master__ip_verification/doc at development_branch_v1 · muneeb-mb...,2,1
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/sim/questa_sim,pulpino__spi_master__ip_verification/sim/questa_sim at development_branch_v1 ...,2,1
/muneeb-mbytes/pulpino__spi_master__ip_verification,muneeb-mbytes/pulpino__spi_master__ip_verification: To verify the SPI Master ...,11,3
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/src,pulpino__spi_master__ip_verification/src at development_branch_v1 · muneeb-mb...,9,4
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/src/dv,pulpino__spi_master__ip_verification/src/dv at development_branch_v1 · muneeb...,9,3
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/sim,pulpino__spi_master__ip_verification/sim at development_branch_v1 · muneeb-mb...,5,2
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/.github,pulpino__spi_master__ip_verification/.github at development_branch_v1 · munee...,4,1
/muneeb-mbytes/pulpino__spi_master__ip_verification/blob/development_branch_v1/.github/ISSUE_TEMPLATE/rtl_bug_report.md,pulpino__spi_master__ip_verification/.github/ISSUE_TEMPLATE/rtl_bug_report.md...,2,1
/muneeb-mbytes/pulpino__spi_master__ip_verification/blob/development_branch_v1/pull_request_template.md,pulpino__spi_master__ip_verification/pull_request_template.md at development_...,2,1
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/doc,pulpino__spi_master__ip_verification/doc at development_branch_v1 · muneeb-mb...,2,1
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/sim/questa_sim,pulpino__spi_master__ip_verification/sim/questa_sim at development_branch_v1 ...,2,1
/muneeb-mbytes/pulpino__spi_master__ip_verification,muneeb-mbytes/pulpino__spi_master__ip_verification: To verify the SPI Master ...,11,3
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/src,pulpino__spi_master__ip_verification/src at development_branch_v1 · muneeb-mb...,9,4
/muneeb-mbytes/pulpino__spi_master__ip_verification/tree/development_branch_v1/src/dv,pulpino__spi_master__ip_verification/src/dv at development_branch_v1 · muneeb...,9,3
