0,"{'path': '/muneeb-mbytes/verilator/wiki/Installing-Verilator-via-WSL', 'title': 'Installing Verilator via WSL · muneeb-mbytes/verilator Wiki · GitHub', 'count': 46, 'uniques': 26}"
1,"{'path': '/muneeb-mbytes/verilator/wiki', 'title': 'Home · muneeb-mbytes/verilator Wiki · GitHub', 'count': 41, 'uniques': 23}"
2,"{'path': '/muneeb-mbytes/verilator', 'title': 'muneeb-mbytes/verilator: Verilator open-source SystemVerilog simulator and li...', 'count': 38, 'uniques': 21}"
3,"{'path': '/muneeb-mbytes/verilator/wiki/Installation-steps', 'title': 'Installation steps · muneeb-mbytes/verilator Wiki · GitHub', 'count': 29, 'uniques': 18}"
4,"{'path': '/muneeb-mbytes/verilator/wiki/Introduction', 'title': 'Introduction · muneeb-mbytes/verilator Wiki · GitHub', 'count': 12, 'uniques': 7}"
5,"{'path': '/muneeb-mbytes/verilator/wiki/Verilator-Windows-Installation-Procedure', 'title': 'Verilator Windows Installation Procedure · muneeb-mbytes/verilator Wiki · Git...', 'count': 8, 'uniques': 5}"
6,"{'path': '/muneeb-mbytes/verilator/wiki/Examples', 'title': 'Examples · muneeb-mbytes/verilator Wiki', 'count': 4, 'uniques': 3}"
7,"{'path': '/muneeb-mbytes/verilator/tree/master/docs', 'title': 'verilator/docs at master · muneeb-mbytes/verilator', 'count': 3, 'uniques': 1}"
8,"{'path': '/muneeb-mbytes/verilator/wiki/Constraints', 'title': 'Constraints · muneeb-mbytes/verilator Wiki', 'count': 2, 'uniques': 2}"
9,"{'path': '/muneeb-mbytes/verilator/wiki/Virtual-box-and-Ubuntu-Installation-Procedure', 'title': 'Virtual box and Ubuntu Installation Procedure · muneeb-mbytes/verilator Wiki ...', 'count': 2, 'uniques': 2}"
